Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	18/396	3.929460836498528e-15	4.314547998475384e-12	0	0	16.622448979591837	551.3711900327539	SHC1;SRC;ITGB3;STAT3;HSPB1;RHOA;ACTB;VAV2;ARPC2;RAPGEF1;ABL1;MAPK1;GRB2;CSK;RAC1;CRK;HRAS;GIT1
GO_Biological_Process_2018	regulation of stress fiber assembly (GO:0051492)	9/60	9.986294091256989e-13	5.482475456100084e-10	0	0	53.95927601809954	1491.0239018757486	LIMK1;TESK1;ASAP3;ABL1;RAC1;NF2;SORBS3;RHOA;SLC9A1
GO_Biological_Process_2018	ERBB signaling pathway (GO:0038127)	9/80	1.4773706512900433e-11	4.8704327095045324e-09	0	0	38.7204767063922	965.6179119804048	GRB7;SHC1;SRC;ABL1;MAPK1;GRB2;CSK;PTPN12;HRAS
GO_Biological_Process_2018	ephrin receptor signaling pathway (GO:0048013)	9/82	1.856038760041809e-11	4.8704327095045324e-09	0	0	37.65584826132771	930.4756906564496	ARPC2;SRC;RAC1;CRK;HRAS;RHOA;ACTB;GIT1;VAV2
GO_Biological_Process_2018	substrate adhesion-dependent cell spreading (GO:0034446)	7/32	2.2178655325612617e-11	4.8704327095045324e-09	0	0	83.16835820895523	2040.2770783854176	PEAK1;ITGB3;ITGB7;RAC1;PARVB;FERMT2;FERMT3
GO_Biological_Process_2018	platelet aggregation (GO:0070527)	7/33	2.8067446977884198e-11	5.1363427969528094e-09	0	0	79.96555683122847	1942.876009160146	ITGB3;HSPB1;MYH9;TLN1;ACTB;VCL;FERMT3
GO_Biological_Process_2018	integrin-mediated signaling pathway (GO:0007229)	8/58	3.9325361729249225e-11	5.9969346228163525e-09	0	0	48.18424242424243	1154.4535626407858	SRC;ITGB3;ITGB2;ABL1;MYH9;ITGB7;FERMT2;FERMT3
GO_Biological_Process_2018	cell-matrix adhesion (GO:0007160)	9/90	4.369351273454537e-11	5.9969346228163525e-09	0	0	33.92307692307692	809.1950208009249	ITGA3;ITGB3;TRIP6;ITGB2;ITGB7;RAC1;PKD1;FERMT2;VCL
GO_Biological_Process_2018	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	10/133	6.011383704211586e-11	6.382129135189089e-09	0	0	25.15625	592.0468362227872	ARPC2;SRC;LIMK1;ABL1;MAPK1;GRB2;RAC1;CRK;ACTB;VAV2
GO_Biological_Process_2018	Fc-gamma receptor signaling pathway (GO:0038094)	10/134	6.477227738704518e-11	6.382129135189089e-09	0	0	24.952116935483872	585.3802419942502	ARPC2;SRC;LIMK1;ABL1;MAPK1;GRB2;RAC1;CRK;ACTB;VAV2
