LINE 230 : 2022-11-14 11:45:30,985 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-11-14 11:45:31,028 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 943 : 2022-11-14 11:45:31,031 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-11-14 11:45:31,111 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 371 : 2022-11-14 11:45:31,127 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 389 : 2022-11-14 11:45:31,128 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2018
LINE 390 : 2022-11-14 11:45:31,128 [INFO    ] Analysis name: top_adhesome_interacting_genes, Enrichr Library: GO_Biological_Process_2018
LINE 230 : 2022-11-14 11:45:31,131 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-11-14 11:45:31,159 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 943 : 2022-11-14 11:45:31,161 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-11-14 11:45:34,729 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 230 : 2022-11-14 11:45:35,736 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-11-14 11:45:35,764 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/export?userListId=54334153&filename=GO_Biological_Process_2018.top_adhesome_interacting_genes.reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 308 172
LINE 943 : 2022-11-14 11:45:35,768 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-11-14 11:45:36,703 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=54334153&filename=GO_Biological_Process_2018.top_adhesome_interacting_genes.reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 200 None
LINE 398 : 2022-11-14 11:45:36,799 [INFO    ] Save file of enrichment results: Job Id:6a49415e0c5a5d9d67c0acaed6e85964
LINE 1329: 2022-11-14 11:45:36,895 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=bold:stretch=normal:size=24.0.
LINE 1341: 2022-11-14 11:45:36,895 [DEBUG   ] findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 3.335
LINE 1341: 2022-11-14 11:45:36,895 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Italic.ttf) italic normal 400 normal>) = 11.335
