Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	47/396	2.702613998099461e-40	4.702548356693062e-37	0	0	20.985971346704872	1912.0147304627624	IRS1;SHC1;SRC;ITGB3;NEDD9;HSPB1;CBL;ACTB;SDCBP;PAK1;ABL1;NCK2;AKT1;PTK2B;MAPK1;ITGAV;FYN;CSK;RAC1;HRAS;GIT1;LYN;VAV3;SYK;INSR;STAT3;GAB1;PTPN11;SORBS1;PTK2;RHOA;VAV1;VAV2;TIAM1;ARPC2;PIK3CA;RASA1;ABI1;ELMO1;CASS4;RAPGEF1;GRB2;ARHGEF7;SOS1;CRK;PTPN2;BCAR1
GO_Biological_Process_2018	cell-matrix adhesion (GO:0007160)	24/90	1.382175042448052e-29	1.2024922869298052e-26	0	0	48.55528255528255	3226.562100235662	ITGB1;ITGB5;ITGA4;ITGB4;ITGA3;ITGB3;ACTN1;ITGA2;ITGB2;ITGA1;ILK;SORBS1;ITGAL;TIAM1;CTTN;TRIP6;PPFIA1;ZYX;ITGAV;ITGB7;ITGB1BP1;RAC1;ARHGEF7;VCL
GO_Biological_Process_2018	integrin-mediated signaling pathway (GO:0007229)	21/58	3.041918989867797e-29	1.764313014123322e-26	0	0	74.38893860748165	4884.562129106324	ITGB1;ITGB5;SYK;SRC;ITGB3;ITGA2;ITGB2;ILK;NEDD9;PTK2;CEACAM1;ABL1;ZYX;MYH9;PTK2B;ITGAV;ITGB7;ITGB1BP1;CD47;BCAR1;FERMT3
GO_Biological_Process_2018	ERBB signaling pathway (GO:0038127)	20/80	3.575067792971913e-24	1.5551544899427822e-21	0	0	43.35087719298246	2340.429676269523	SHC1;SRC;GAB1;PRKCA;PTPN11;PTPN12;CBL;PTK2;PIK3CA;NCK2;ABL1;AKT1;PTK2B;MAPK1;CSK;GRB2;PLCG1;SOS1;HRAS;BCAR1
GO_Biological_Process_2018	ephrin receptor signaling pathway (GO:0048013)	20/82	6.1879361205159015e-24	2.1534017699395338e-21	0	0	41.94821731748727	2241.689268550137	VAV3;LYN;SRC;PTPN11;ACTB;RHOA;PTK2;VAV2;TIAM1;SDCBP;PAK1;ARPC2;RASA1;NCK2;FYN;RAC1;ARHGEF7;HRAS;CRK;GIT1
GO_Biological_Process_2018	vascular endothelial growth factor receptor signaling pathway (GO:0048010)	19/70	8.939176825165516e-24	2.592361279298e-21	0	0	48.15622196591055	2555.727688269165	VAV3;SRC;ITGB3;HSPB1;ACTB;RHOA;VAV1;PTK2;VAV2;PIK3CA;ABI1;NCK2;ELMO1;PTK2B;ITGAV;FYN;RAC1;CRK;BCAR1
GO_Biological_Process_2018	epidermal growth factor receptor signaling pathway (GO:0007173)	17/57	3.5581700955256933e-22	8.844594237449581e-20	0	0	54.25741935483871	2679.64511590066	SHC1;SRC;GAB1;PTPN11;CBL;PTK2;PIK3CA;NCK2;ABL1;AKT1;PTK2B;CSK;GRB2;PLCG1;SOS1;HRAS;BCAR1
GO_Biological_Process_2018	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	21/133	7.792617363089115e-21	1.6948942764718825e-18	0	0	24.4817880794702	1133.5339667641229	LYN;VAV3;SYK;SRC;LIMK1;ACTB;PTK2;VAV1;VAV2;PAK1;ARPC2;PIK3CA;ABI1;ELMO1;ABL1;MAPK1;GRB2;FYN;PLCG1;RAC1;CRK
GO_Biological_Process_2018	Fc-gamma receptor signaling pathway (GO:0038094)	21/134	9.173960405448315e-21	1.773632345053341e-18	0	0	24.263904354451157	1119.486026375797	LYN;VAV3;SYK;SRC;LIMK1;ACTB;PTK2;VAV1;VAV2;PAK1;ARPC2;PIK3CA;ABI1;ELMO1;ABL1;MAPK1;GRB2;FYN;PLCG1;RAC1;CRK
GO_Biological_Process_2018	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	21/135	1.0785314054338515e-20	1.8766446454549018e-18	0	0	24.049843150923667	1105.718031062439	LYN;VAV3;SYK;SRC;LIMK1;ACTB;PTK2;VAV1;VAV2;PAK1;ARPC2;PIK3CA;ABI1;ELMO1;ABL1;MAPK1;GRB2;FYN;PLCG1;RAC1;CRK
GO_Biological_Process_2018	cellular response to cytokine stimulus (GO:0071345)	28/456	2.8439097025264744e-16	4.4142104588394217e-14	0	0	8.813603322949117	315.49334621475435	ITGB1;ITGAM;SHC1;ITGB2;INPPL1;CIB1;CBL;CRKL;INPP5D;ITGAX;AKT1;FYN;PRKACA;STAT3;PTPN11;PTPN12;RHOA;VAV1;HAX1;PIK3CA;RAPGEF1;PTPN6;GRB2;VIM;ARHGEF2;SOS1;CRK;PTPN2
GO_Biological_Process_2018	enzyme linked receptor protein signaling pathway (GO:0007167)	17/120	3.0442830750616703e-16	4.4142104588394217e-14	0	0	21.00375822110868	750.4242912984407	LYN;TRIO;SYK;SHC1;SRC;NEDD9;PTK2;PTPRF;ABI1;ABL1;CASS4;RAPGEF1;PTK2B;GRB2;CSK;FYN;BCAR1
GO_Biological_Process_2018	regulation of cell proliferation (GO:0042127)	34/740	8.285935773918267e-16	1.1090406343552143e-13	0	0	6.673112452272448	231.735854156032	TES;IRS1;SHC1;SRC;PTEN;CIB1;CRKL;SDCBP;PAK1;ABL1;NCK2;AKT1;PTK2B;ITGAV;FYN;CSK;CAPN1;HRAS;LYN;SYK;INSR;ITGA1;PTK2;RHOA;TIAM1;ABI1;PTPN6;GRB2;ITGB1BP1;NF2;ARHGEF2;CALR;CD47;PTPN2
GO_Biological_Process_2018	regulation of apoptotic process (GO:0042981)	35/815	2.2602412728460267e-15	2.8091570105372053e-13	0	0	6.238817143926633	210.3935323197007	ITGB1;TRIO;SHC1;SRC;FHL2;HSPB1;CIB1;CBL;PAK1;CFL1;ABL1;AKT1;PTK2B;FYN;RAC1;VAV3;ARHGEF12;ACTN1;INSR;STAT3;PLAUR;PTK2;VAV1;DNM2;VAV2;TIAM1;HAX1;RASA1;NF2;ARHGEF2;CALR;ARHGEF7;SOS1;BCAR1;ITGB3BP
GO_Biological_Process_2018	regulation of stress fiber assembly (GO:0051492)	13/60	3.235195979693141e-15	3.752827336444044e-13	0	0	34.410946072527764	1148.1104412209293	LIMK1;TESK1;SORBS3;RHOA;PPM1F;SLC9A1;PAK1;PPFIA1;ABL1;ITGB1BP1;RAC1;NF2;PFN1
GO_Biological_Process_2018	regulation of cell migration (GO:0030334)	23/316	4.331462888817541e-15	4.710465891589074e-13	0	0	10.291705797466614	340.3762588305997	MACF1;SRC;INSR;RDX;PTEN;CIB1;PRKCA;PTK2;RHOA;SDCBP;TIAM1;PAK1;CEACAM1;ABI3;TRIP6;AKT1;PTK2B;NF2;RAC1;HRAS;VCL;BCAR1;FERMT3
GO_Biological_Process_2018	positive regulation of cell migration (GO:0030335)	20/221	4.731851143214045e-15	4.843188817172023e-13	0	0	12.848258706467664	423.7928741752572	SRC;INSR;RDX;GAB1;CIB1;PRKCA;PTK2;PPM1F;SDCBP;TIAM1;PAK1;TRIP6;PTK2B;PLCG1;ARHGEF2;PFN1;ARHGEF7;HRAS;BCAR1;FERMT3
GO_Biological_Process_2018	extracellular matrix organization (GO:0030198)	20/229	9.382839656486734e-15	9.070078334603845e-13	0	0	12.351422815411736	398.9496469764587	ITGB1;ITGAM;ITGA4;ITGB5;ITGA3;ITGB4;ITGA2;ITGB3;ITGA1;ITGB2;ITGAE;ITGAL;ADAM12;CAPN2;ITGAX;ITGB8;ITGB7;ITGAV;CAPN1;CD47
GO_Biological_Process_2018	positive regulation of actin filament bundle assembly (GO:0032233)	11/44	8.265359682672311e-14	7.56932939360517e-12	0	0	40.98343685300207	1234.5898899699616	PAK1;LIMK1;TESK1;ABL1;ITGB1BP1;RAC1;NF2;PFN1;SORBS3;PPM1F;RHOA
GO_Biological_Process_2018	actin cytoskeleton reorganization (GO:0031532)	12/61	1.3426778127173512e-13	1.1681296970640955e-11	0	0	30.27397959183673	897.2886713845412	PTPN1;PAK1;CTTN;GAB1;CASS4;MYH9;NEDD9;RAC1;PARVB;EZR;RHOA;BCAR1
GO_Biological_Process_2018	peptidyl-tyrosine phosphorylation (GO:0018108)	13/79	1.4354899415500872e-13	1.189405951570072e-11	0	0	24.48122736801982	723.9613037347444	LYN;SYK;SRC;INSR;PTK2;ABI2;ABI1;ABL1;PTK2B;CSK;FYN;PTPN6;GRB2
GO_Biological_Process_2018	cytokine-mediated signaling pathway (GO:0019221)	29/633	1.5459806086448284e-13	1.2227301177463644e-11	0	0	6.454591765850044	190.3972109906924	ITGB1;ARF1;ITGAM;IRS1;SHC1;ITGB2;INPPL1;ILK;CBL;CRKL;INPP5D;CFL1;ITGAX;AKT1;PTK2B;FYN;PRKACA;SYK;STAT3;PTPN11;VAV1;CEACAM1;PIK3CA;RAPGEF1;PTPN6;GRB2;VIM;SOS1;CRK
