Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	cell-matrix adhesion (GO:0007160)	32/91	2.6096508466017e-39	5.310639472834459e-36	0	0	53.448135593220336	4748.4180001503	ITGB1;ITGB5;ITGB4;ITGB3;ITGB2;ILK;THY1;ITGAL;PKD1;PPFIA1;ITGAV;ITGB7;RAC1;ITGA4;ITGA3;ACTN1;ITGA2;ITGA1;SORBS1;TIAM1;CTTN;ITGA10;DLC1;TRIP6;ITGA11;ITGA8;ZYX;ITGA7;ITGB1BP1;ARHGEF7;VCL;FERMT2
GO_Biological_Process_2018	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	51/397	1.8519426370526802e-38	1.8843516332011025e-35	0	0	15.816466004534858	1374.1661736495644	NRP1;IRS1;ITGB3;HSPB1;ACTB;NCK2;AKT1;ITGAV;RAC1;HRAS;GIT1;VAV3;SYK;GAB1;RHOA;VAV1;VAV2;TIAM1;PIK3CA;RASA1;RAPGEF1;ELMO1;ARHGEF7;SOS1;DOCK1;CRK;ROCK1;SHC1;SRC;PXN;NEDD9;CBL;SDCBP;PAK1;ABL1;PTK2B;MAPK1;CSK;FYN;LYN;INSR;STAT3;PTPN11;SORBS1;PTK2;ARPC2;ABI1;CASS4;GRB2;PTPN2;BCAR1
GO_Biological_Process_2018	integrin-mediated signaling pathway (GO:0007229)	27/59	4.068986008563689e-37	2.7601288424757027e-34	0	0	81.23048780487805	6806.485716266043	ITGB1;NRP1;ITGB5;SRC;ITGB3;ITGB2;ILK;NEDD9;THY1;ABL1;PTK2B;ITGAV;ITGB7;SYK;ITGA2;PTK2;CEACAM1;ITGA10;ITGA11;ZYX;MYH9;ITGB1BP1;CD47;DOCK1;BCAR1;FERMT2;FERMT3
GO_Biological_Process_2018	vascular endothelial growth factor receptor signaling pathway (GO:0048010)	23/71	1.623993613490873e-27	8.262067508634817e-25	0	0	45.21132376395534	2788.856401267659	VAV3;NRP1;ROCK1;SRC;ITGB3;PXN;HSPB1;ACTB;RHOA;VAV1;PTK2;VAV2;PIK3CA;ABI1;NCK2;ELMO1;PTK2B;ITGAV;FYN;RAC1;DOCK1;CRK;BCAR1
GO_Biological_Process_2018	ERBB signaling pathway (GO:0038127)	23/81	5.285974007506439e-26	2.151391421055121e-23	0	0	37.39729417587857	2176.603131610844	GRB7;PDPK1;SHC1;SRC;PXN;GAB1;PRKCA;PTPN11;PTPN12;CBL;PTK2;PIK3CA;NCK2;ABL1;AKT1;PTK2B;MAPK1;CSK;GRB2;PLCG1;SOS1;HRAS;BCAR1
GO_Biological_Process_2018	epidermal growth factor receptor signaling pathway (GO:0007173)	20/58	1.0602482578729786e-24	3.596008674619186e-22	0	0	48.98212512413108	2703.9866617253533	GRB7;PDPK1;SHC1;SRC;PXN;GAB1;PTPN11;CBL;PTK2;PIK3CA;NCK2;ABL1;AKT1;PTK2B;CSK;GRB2;PLCG1;SOS1;HRAS;BCAR1
GO_Biological_Process_2018	extracellular matrix organization (GO:0030198)	30/230	6.353411228856088e-23	1.84702740724602e-20	0	0	14.530693069306931	742.6704834504745	ITGB1;ITGAM;ITGB5;ITGB4;ITGB3;ITGB2;ITGAE;ITGAL;CAPN2;ITGAX;ITGB8;ITGAV;ITGB7;CAPN1;ITGB6;ITGA4;ITGA3;ITGA2;ITGA1;MMP14;ITGAD;ITGA10;ADAM12;ITGA11;ITGA8;ITGA7;ITGA6;CD47;ITGA5;ITGA9
GO_Biological_Process_2018	ephrin receptor signaling pathway (GO:0048013)	21/83	1.1728425186321178e-22	2.9834181567704503e-20	0	0	31.633236508179177	1597.397517632904	VAV3;LYN;ROCK1;SRC;PTPN11;ACTB;RHOA;PTK2;VAV2;TIAM1;SDCBP;PAK1;ARPC2;RASA1;NCK2;FYN;RAC1;ARHGEF7;HRAS;CRK;GIT1
GO_Biological_Process_2018	regulation of cell migration (GO:0030334)	33/317	5.509520029878118e-22	1.245763695644663e-19	0	0	11.376813645693256	556.89951651256	GRB7;MACF1;CD151;SRC;PTEN;NEXN;CIB1;THY1;SDCBP;PAK1;AKT1;FLNA;PTK2B;RAC1;HRAS;INSR;RDX;PRKCA;SRCIN1;PTK2;RHOA;TIAM1;CEACAM1;MMP14;ABI3;DLC1;TRIP6;ITGA6;NF2;VCL;BCAR1;FERMT3;ENG
GO_Biological_Process_2018	regulation of stress fiber assembly (GO:0051492)	18/61	6.262142095675853e-21	1.274345916470036e-18	0	0	38.58400347750489	1794.918760584138	NRP1;ROCK1;PXN;LIMK1;TESK1;ASAP3;SORBS3;RHOA;PPM1F;SLC9A1;PAK1;DLC1;PPFIA1;ABL1;ITGB1BP1;RAC1;NF2;PFN1
