Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	ubiquitin-dependent protein catabolic process (GO:0006511)	94/342	6.009049971915484e-11	2.54963990308374e-07	0	0	2.348279648609078	55.267159238035056	GSK3A;UBE2D2;LTN1;OTUD7B;BUB1B;ARRB1;PTPN23;PSMD8;PSMD9;MAEA;PSMD2;CDC27;ARIH1;BTRC;GTSE1;FBXO7;SKP1;RNF44;FBXW5;AREL1;ARRDC1;FBXW11;AXIN1;UBE4B;TRPC4AP;KCTD5;RNF40;KLHL42;DDB1;RNF168;RNF126;CDC34;UBE2R2;PSME1;PSME2;ANAPC5;RBCK1;KCTD17;UBA52;ANAPC2;KLHL18;RNF34;ANAPC16;UBA7;VPS4A;UBR4;RNF8;NEDD4L;FBXO45;RNF4;PSMA7;FBXL22;BAG6;RNF213;ZNRF3;PSMB1;BTBD2;MVB12B;SPOP;MVB12A;PSMF1;RANBP1;ZRANB1;UBE2H;RANBP3;UBE2B;SMURF2;CSNK1A1;SMURF1;FBXL19;ADRM1;WWP2;BFAR;UBE2G2;KLHL24;NTAN1;FBXL14;CHFR;PML;CUL4A;KBTBD4;SPSB2;COPS3;PSMC5;ITCH;SPSB1;GID4;PSMC3;PSMC4;UBE2S;CDC16;TTC3;RNF181;STUB1
GO_Biological_Process_2018	modification-dependent protein catabolic process (GO:0019941)	46/142	2.3106737986584347e-08	4.902094463853869e-05	0	0	2.943600119904077	51.75773764616534	RNF34;UBA7;UBE2D2;UBR4;RNF8;NEDD4L;FBXO45;ARRB1;BAG6;PSMD9;RNF213;ZNRF3;LONP1;PSMF1;ARIH1;BTRC;FBXO7;RANBP1;UBE2H;AREL1;RANBP3;UBE2B;SMURF2;ARRDC1;SMURF1;ADRM1;UBE4B;ISG15;BFAR;UBE2G2;NTAN1;TRPC4AP;FBXL14;RNF40;CHFR;RNF168;DDB1;COPS3;RNF126;ITCH;CDC34;UBE2R2;UBE2S;TTC3;STUB1;UBA52
GO_Biological_Process_2018	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	76/292	5.1037713982063196e-08	7.21843401419647e-05	0	0	2.169710437710438	36.43095918941302	GSK3A;CCNF;LTN1;BUB1B;ARRB1;AUP1;PSMD8;PSMD9;MAEA;PSMD2;CDC27;BTRC;GTSE1;SKP1;RNF44;FBXW5;FBXW11;AXIN1;UBE4B;KCTD5;KLHL42;DDB1;RNF126;CDC34;UBE2R2;PSME1;PSME2;ANAPC5;RBCK1;MAN1B1;KCTD17;UBA52;ANAPC2;RNF34;ANAPC16;DERL1;NEDD4L;UBR2;FBXO45;UBR1;UBE2J2;RNF4;PSMA7;FBXL22;BAG6;PSMB1;TMEM129;BTBD2;SPOP;PSMF1;UBE2B;HSPA5;SMURF2;CSNK1A1;SMURF1;FBXL19;SGTA;WWP2;BFAR;FBXL15;UBE2G2;PML;FBXO31;CUL4A;KBTBD4;SPSB2;PSMC5;ITCH;SPSB1;GID4;PSMC3;PSMC4;UBE2S;CDC16;RNF181;STUB1
GO_Biological_Process_2018	proteasomal protein catabolic process (GO:0010498)	64/238	1.5867887318258386e-07	0.0001683186147284258	0	0	2.263893397255029	35.44438287402283	GSK3A;LTN1;BUB1B;ARRB1;PSMD8;PSMD9;MAEA;PSMD2;CDC27;BTRC;GTSE1;SKP1;RNF44;FBXW5;FBXW11;DNAJB12;AXIN1;UBE4B;KCTD5;KLHL42;DDB1;RNF126;CDC34;UBE2R2;PSME1;PSME2;ANAPC5;RBCK1;KCTD17;UBA52;ANAPC2;RNF34;ANAPC16;DERL1;NEDD4L;FBXO45;RNF4;PSMA7;FBXL22;BAG6;PSMB1;BTBD2;SPOP;PSMF1;UBE2B;SMURF2;CSNK1A1;SMURF1;FBXL19;WWP2;BFAR;PML;CUL4A;KBTBD4;SPSB2;PSMC5;ITCH;SPSB1;GID4;PSMC3;PSMC4;CDC16;RNF181;STUB1
GO_Biological_Process_2018	gene expression (GO:0010467)	96/412	3.219849945265559e-07	0.0002732364663552353	0	0	1.8759771873695923	28.043534415343014	RPL4;ISCA2;HBS1L;RPL3;MRPS16;NUP188;LDB1;RPLP1;RPLP0;EIF4A3;MRPL36;MRPL37;MRPL34;SMG6;GLE1;MRPL41;DUSP11;RPS15;ALKBH5;RPS16;RPS19;RPL18A;RPS18;MAGOH;RPL36;IGFLR1;RPL35;EPC1;RBM5;RBM6;DDX17;UPF1;NCBP2;RPS5;RPL22;THOC1;MRPS18B;SARS;MRPS18A;MRPS2;TFIP11;MRPS6;THOC6;SRRM1;NUP93;DHX40;DDX19B;DDX39A;MRPL51;DDX39B;HNRNPUL1;NUP50;MED20;SRSF2;HNRNPH3;RPL28;SRSF9;FYTTD1;SLBP;GTF3C2;NUFIP1;DHX8;RPL12;IGHMBP2;U2AF1;RRBP1;LMF2;GSPT1;DEDD2;LMF1;DHX30;U2AF2;DHX34;POLR2C;RPS3;POLR2E;E2F1;RPL13;EIF4EBP2;POLR2F;SRSF10;ABCF1;CPSF4;RBM39;RPL35A;RSL1D1;LSM7;GOLPH3;RPS29;RPL27A;MMS19;STUB1;RNPS1;TCF3;RPS21;EIF4G1
GO_Biological_Process_2018	RNA processing (GO:0006396)	53/194	1.053816018680486e-06	0.000745223561210217	0	0	2.308862306997824	31.777085912906102	MAPKBP1;PDCD7;CELF1;EIF4A3;AKAP8L;HNRNPR;USP39;TSEN54;EFTUD2;DUSP11;PTBP1;ALKBH5;KHSRP;MAGOH;SNRNP35;RBM5;RBM6;DDX17;NCBP2;METTL3;THOC1;TFIP11;SRRM1;DHX40;DDX19B;PRPF6;DDX39B;HNRNPUL1;SRSF2;LUC7L3;HNRNPH3;SNRNP25;AURKAIP1;SRSF9;SF3B3;NUFIP1;DHX8;U2AF1;DEDD2;DHX30;DHX34;U2AF2;RBM39;SF3A2;LSM1;SUPT5H;LSM4;SMU1;LSM7;SON;RNPS1;HNRNPC;TARDBP
GO_Biological_Process_2018	retrograde transport, endosome to Golgi (GO:0042147)	29/83	1.551139607029186e-06	0.0009402121932321196	0	0	3.2871197976668123	43.970225907872745	TMEM87A;DCTN1;GOSR2;CLTC;GOSR1;FAM109B;VPS26A;VPS26B;ARFRP1;SNX1;VPS53;VPS52;CLTCL1;TBC1D14;DENND5A;ERC1;RAB6A;YKT6;SNX5;PLEKHJ1;SPAG9;TRAPPC10;DENND2A;GBF1;BET1L;RNF126;UBE2O;RAB7A;VAMP3
GO_Biological_Process_2018	protein ubiquitination (GO:0016567)	108/507	5.777147727506689e-06	0.0028923617872859	0	0	1.670567146342678	20.149713477205136	KLHL36;UBE2D2;CCNF;UBE2Z;BACH1;PSMD8;PSMD9;HERC4;MAEA;PSMD2;BTRC;FBXO7;SKP1;RNF44;FBXW5;AREL1;USP5;ARRDC1;FBXW11;MUL1;UBE4B;TRPC4AP;RNF40;KLHL42;RNF126;CDC34;PSME1;PSME2;RBCK1;UBA52;ANAPC2;KLHL18;CUL7;ANAPC16;CBFB;UBA7;KLHL17;UBR4;NEDD4L;UBR2;FBXO45;KLHL12;UBR1;RTF1;UBE2J2;RNF213;BTBD2;TMEM129;PSMF1;UBE2H;UBE2B;SMURF2;KLHL26;SMURF1;KLHL21;KLHL22;KLHDC8B;ISG15;BFAR;KLHL24;FBXO31;UBE2S;UBE2T;UVSSA;RNF181;UBE2O;BLMH;SAE1;RNF10;LRSAM1;ARRB1;ARIH1;DDB2;DDB1;RNF168;UBE2R2;BIRC5;THOP1;RNF166;RNF31;RNF34;DERL1;RNF8;RNF4;PSMA7;FBXL22;RNF135;ZNRF3;PSMB1;SPOP;VHL;FBXL19;MIB2;WWP2;FBXL15;UBE2G2;FBXL14;CHFR;CUL4A;SPSB2;KBTBD4;PSMC5;SPSB1;ITCH;PSMC3;PSMC4;TSPAN17;STUB1
GO_Biological_Process_2018	protein polyubiquitination (GO:0000209)	68/284	6.135106312885582e-06	0.0028923617872859	0	0	1.9356887707141517	23.231136167379034	LRSAM1;UBE2D2;CCNF;PSMD8;PSMD9;PSMD2;CDC27;ARIH1;BTRC;FBXO7;SKP1;FBXW5;FBXW11;UBE4B;DDB2;KLHL42;RNF168;RNF126;CDC34;UBE2R2;PSME1;PSME2;ANAPC5;RBCK1;UBA52;THOP1;RNF166;ANAPC2;RNF31;RNF34;CBFB;RNF8;NEDD4L;UBR2;UBE2J2;RNF4;PSMA7;FBXL22;RNF213;PSMB1;TMEM129;PSMF1;UBE2H;UBE2B;SMURF2;SMURF1;FBXL19;MIB2;WWP2;BFAR;FBXL15;UBE2G2;FBXL14;CHFR;FBXO31;PSMC5;ITCH;SPSB1;PSMC3;PSMC4;UBE2S;UBE2T;CDC16;TTC3;UBE2O;RNF181;BLMH;STUB1
GO_Biological_Process_2018	rRNA processing (GO:0006364)	52/203	1.0136547076244558e-05	0.0040392851456555	0	0	2.113275113757359	24.301317953776397	RPL4;RPL3;DDX49;RPLP1;RRP1;DIS3L;RPLP0;FCF1;PWP2;WDR46;RPS15;RPS16;RPS19;RPL18A;NOB1;RPS18;RPL36;RPL35;WDR37;RPS5;RPL22;DDX56;CSNK1E;DDX52;MRTO4;SBDS;RPL28;UBA52;RPL12;NOP2;NOLC1;NOC4L;NOL6;RRP7A;EXOSC6;EXOSC5;EXOSC10;PDCD11;RPS3;RPL13;RRP36;EXOSC1;NOP14;RIOK3;WDR18;RPL35A;RRP1B;RSL1D1;EIF6;RPS29;RPL27A;RPS21
