Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	cholesterol transport (GO:0030301)	6/44	3.0098772777302984e-12	1.1226842245934012e-09	0	0	224.90977443609023	5966.658802166057	ABCA1;ABCG8;ABCG5;LIPC;NPC1L1;LDLR
GO_Biological_Process_2018	cholesterol homeostasis (GO:0042632)	6/58	1.711418297506509e-11	2.1278634165664267e-09	0	0	164.24175824175825	4071.736083552221	ABCA1;ABCG8;ABCG5;LIPC;PCSK9;LDLR
GO_Biological_Process_2018	sterol homeostasis (GO:0055092)	6/58	1.711418297506509e-11	2.1278634165664267e-09	0	0	164.24175824175825	4071.736083552221	ABCA1;ABCG8;ABCG5;LIPC;PCSK9;LDLR
GO_Biological_Process_2018	regulation of primary metabolic process (GO:0080090)	7/139	4.833756692682226e-11	3.7855011899963405e-09	0	0	80.96503496503495	1923.1472601235284	ABCA1;LRP1;HNF4A;PPARG;HMGCR;LDLR;FDFT1
GO_Biological_Process_2018	intestinal cholesterol absorption (GO:0030299)	4/8	5.074398378011182e-11	3.7855011899963405e-09	0	0	1248.5	29594.72872197127	ABCG8;ABCG5;NPC1L1;LDLR
GO_Biological_Process_2018	intestinal lipid absorption (GO:0098856)	4/9	9.128189281043048e-11	5.674691003048429e-09	0	0	998.75	23088.172338436285	ABCG8;ABCG5;NPC1L1;LDLR
GO_Biological_Process_2018	cholesterol metabolic process (GO:0008203)	5/68	5.8281922893440495e-09	3.1055938913219003e-07	0	0	105.38095238095238	1998.081760364076	ABCA1;FDPS;NPC1L1;HMGCR;FDFT1
GO_Biological_Process_2018	cholesterol biosynthetic process (GO:0006695)	4/35	3.731052186295756e-08	1.5646430603061147e-06	0	0	160.8790322580645	2751.673433373783	FDPS;NPC1L1;HMGCR;FDFT1
GO_Biological_Process_2018	regulation of lipid metabolic process (GO:0019216)	5/100	4.125948781479833e-08	1.5646430603061147e-06	0	0	69.7719298245614	1186.3589670673543	ABCA1;HNF4A;PPARG;HMGCR;FDFT1
GO_Biological_Process_2018	secondary alcohol biosynthetic process (GO:1902653)	4/36	4.194753512885026e-08	1.5646430603061147e-06	0	0	155.84375	2647.2938067332707	FDPS;NPC1L1;HMGCR;FDFT1
