Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2018	focal adhesion (GO:0005925)	78/356	2.089498558841009e-85	2.6954531409049027e-83	0	0	45.649640287769785	8900.895083621981	ITGB1;NRP1;ARF1;TES;ITGB5;ITGB3;FHL2;ILK;HSPB1;PVR;LASP1;CSRP1;CFL1;PPFIA1;CAPN2;ITGAV;RAC1;CAPN1;ITGB6;GIT1;TNS1;ITGA4;ITGA3;ACTN1;ITGA2;ITGA1;PLAUR;RHOA;DNM2;ENAH;MMP14;CTTN;PALLD;PEAK1;ITGA8;MYH9;ITGA6;ARHGEF2;PABPC1;PFN1;TLN1;EZR;ARHGEF7;VCL;ENG;PLEC;GRB7;CD151;LRP1;FBLIM1;PXN;ASAP3;THY1;LPP;CORO1B;SLC9A1;PTK2B;MAPK1;PIP5K1C;VASP;SVIL;GIT2;CAV1;RDX;LAYN;PARVA;SORBS1;PARVB;SORBS3;PTK2;ARPC2;DLC1;TRIP6;ITGA11;VIM;CALR;BCAR1;LIMS1
GO_Cellular_Component_2018	cytoskeleton (GO:0005856)	35/520	2.056655051687935e-19	1.3265425083387182e-17	0	0	8.552210486370248	367.98481953368963	MACF1;HSPB1;LDB3;SDCBP;TUBA1B;CASP8;ABL1;AKT1;MAPK1;RAC1;VASP;SVIL;SORBS2;PARVA;PARVB;CORO2A;SRCIN1;PTK2;DNM2;ARHGAP32;MMP14;HAX1;CTTN;ARPC2;PALLD;PEAK1;MYH9;RHOU;ITGB1BP1;VIM;ARHGEF2;NF2;EZR;VCL;PLEC
GO_Cellular_Component_2018	actin cytoskeleton (GO:0015629)	24/294	2.039793557636325e-15	8.771112297836198e-14	0	0	9.978033205619413	337.51623069364183	VASP;SVIL;MYOM1;ACTN1;RDX;SORBS2;PARVA;PARVB;CORO2A;SRCIN1;CORO1B;ARHGAP32;LASP1;HAX1;CTTN;ARPC2;PALLD;PEAK1;DLC1;CAPN2;ABL1;MYH9;RAC1;EZR
GO_Cellular_Component_2018	contractile actin filament bundle (GO:0097517)	8/40	4.694328805664364e-09	1.2111368318614062e-07	0	0	26.01315789473684	498.85200581357793	FBLIM1;ACTN1;PXN;ILK;MYH9;SORBS1;CORO1B;PTK2
GO_Cellular_Component_2018	stress fiber (GO:0001725)	8/40	4.694328805664364e-09	1.2111368318614062e-07	0	0	26.01315789473684	498.85200581357793	FBLIM1;ACTN1;PXN;ILK;MYH9;SORBS1;CORO1B;PTK2
GO_Cellular_Component_2018	filopodium (GO:0030175)	9/60	7.277984802031241e-09	1.564766732436717e-07	0	0	18.441643323996264	345.56710735260714	ITGB1;ABI2;ITGA3;ITGB3;RDX;ABI1;CIB1;ITGAV;EZR
GO_Cellular_Component_2018	actomyosin (GO:0042641)	8/48	2.1526216600569414e-08	3.966974202104935e-07	0	0	20.80210526315789	367.24024707558783	FBLIM1;ACTN1;PXN;ILK;MYH9;SORBS1;CORO1B;PTK2
GO_Cellular_Component_2018	membrane raft (GO:0045121)	10/119	3.0065768769914287e-07	4.848105214148679e-06	0	0	9.610091743119266	144.3175679754923	ITGB1;SDCBP;PRNP;CAV1;CAPN2;FYN;THY1;SORBS1;CBL;SLC9A1
GO_Cellular_Component_2018	ruffle membrane (GO:0032587)	7/53	8.787480134132297e-07	1.2595388192256294e-05	0	0	15.740040974277258	219.49121425892528	ITGB1;MACF1;ITGB3;DLC1;ITGAV;RAC1;ARHGEF2
GO_Cellular_Component_2018	polymeric cytoskeletal fiber (GO:0099513)	12/221	2.185243105514235e-06	2.818963606113363e-05	0	0	6.048155579564747	78.8303502441412	MACF1;SYNM;TUBA1B;CTTN;PALLD;ACTN1;VIM;ARHGEF2;RAC1;EZR;CORO1B;DNM2
GO_Cellular_Component_2018	specific granule (GO:0042581)	10/160	4.5261014399031036e-06	5.3078825977045504e-05	0	0	6.968794326241135	85.75554110133777	CEACAM1;DLC1;ITGB2;PLAUR;ITGAV;PTPN6;CD47;PLD1;ITGAL;VCL
GO_Cellular_Component_2018	perinuclear region of cytoplasm (GO:0048471)	15/378	5.7952466749223525e-06	6.22989017554153e-05	0	0	4.389423294043263	52.929740148904315	KCNH2;ITGB1;CAV1;PRKCA;CIB1;CORO1B;CAPN2;ABL1;PTK2B;ITGB1BP1;CALR;NF2;EZR;TSPAN1;LIMS1
GO_Cellular_Component_2018	cortical cytoskeleton (GO:0030863)	6/52	1.2162633529714132e-05	0.00012069074810254793	0	0	13.421195652173912	151.88957877310762	LASP1;CTTN;DLC1;RDX;CAPN2;EZR
GO_Cellular_Component_2018	actin filament (GO:0005884)	6/55	1.6897679610254233e-05	0.00015570004783734256	0	0	12.597576530612244	138.42638161587269	CTTN;PALLD;ACTN1;RAC1;EZR;CORO1B
GO_Cellular_Component_2018	caveola (GO:0005901)	6/56	1.8770688603223404e-05	0.00016142792198772126	0	0	12.345	134.35327709746272	SRC;CAV1;INSR;DLC1;MAPK1;CBL
GO_Cellular_Component_2018	specific granule membrane (GO:0035579)	7/91	3.360916457708442e-05	0.0002709738894027431	0	0	8.602966841186737	88.61668182301564	CEACAM1;ITGB2;PLAUR;ITGAV;CD47;ITGAL;PLD1
GO_Cellular_Component_2018	tertiary granule (GO:0070820)	9/164	3.846641746901903e-05	0.0002918922266766738	0	0	6.0359447004608295	61.359753764171174	CEACAM1;DLC1;ITGB2;SIRPA;PTPN6;RAC1;CD47;PLD1;RHOA
GO_Cellular_Component_2018	filopodium tip (GO:0032433)	3/10	0.00010895350177156852	0.0007808334293629077	0	0	43.50549450549449	396.9697720924332	ABI2;ABI1;CIB1
GO_Cellular_Component_2018	filopodium membrane (GO:0031527)	3/12	0.0001968478510580344	0.0012696686393243216	0	0	33.83418803418803	288.709814868317	ITGA3;ITGB3;ITGAV
GO_Cellular_Component_2018	invadopodium (GO:0071437)	3/12	0.0001968478510580344	0.0012696686393243216	0	0	33.83418803418803	288.709814868317	ITGB1;ITGA3;EZR
GO_Cellular_Component_2018	dendrite (GO:0030425)	9/215	0.00030154222358637985	0.0018523308020306191	0	0	4.529819694868238	36.72143863295287	PRNP;MAPK8;INSR;CAPN2;ABL1;PTK2B;FYN;THY1;SRCIN1
GO_Cellular_Component_2018	ficolin-1-rich granule (GO:0101002)	8/184	0.0005071386552371903	0.0029736766602544338	0	0	4.695215311004786	35.621312592223155	ITGB2;SIRPA;MAPK1;CAPN1;OSTF1;RAC1;VCL;RHOA
