LINE 205 : 2021-04-07 18:49:06,649 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 393 : 2021-04-07 18:49:08,295 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 813 : 2021-04-07 18:49:08,298 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 393 : 2021-04-07 18:49:08,374 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 371 : 2021-04-07 18:49:08,390 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 389 : 2021-04-07 18:49:08,391 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2018
LINE 390 : 2021-04-07 18:49:08,391 [INFO    ] Analysis name: top_adhesome_hic, Enrichr Library: GO_Biological_Process_2018
LINE 205 : 2021-04-07 18:49:08,393 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 393 : 2021-04-07 18:49:08,422 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 813 : 2021-04-07 18:49:08,424 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 393 : 2021-04-07 18:49:08,729 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 205 : 2021-04-07 18:49:09,735 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 393 : 2021-04-07 18:49:09,763 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/export?userListId=37365379&filename=GO_Biological_Process_2018.top_adhesome_hic.reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 308 172
LINE 813 : 2021-04-07 18:49:09,766 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 393 : 2021-04-07 18:49:10,046 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=37365379&filename=GO_Biological_Process_2018.top_adhesome_hic.reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 200 None
