Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PPI_Hub_Proteins	PTK2	53/163	3.881848043325954e-67	1.0442171236546819e-64	0	0	65.43423197492163	10005.99924598077	ITGB1;TRIO;ITGB5;ITGB4;ITGB3;ITGB2;PTEN;CIB1;PTPRH;PKD1;NCK2;ITGAV;ITGB7;ITGB6;RAC1;GIT1;TNS1;ITGA4;SYK;ACTN1;PRKCA;MAPK8IP3;DNM2;PIK3CA;RHOU;CD47;TLN1;EZR;ARHGEF7;DOCK1;CRK;VCL;GRB7;SHC1;SRC;PXN;NEDD9;PTK2B;MAPK1;CSK;FYN;PLCG1;PTPN1;INSR;STAT3;PTPN11;PTPN12;SORBS1;ARHGAP26;PTK2;TRIP6;GRB2;BCAR1
PPI_Hub_Proteins	SRC	68/513	4.7513424565368024e-58	6.390555604041998e-56	0	0	22.75325842696629	3003.236896082859	ITGB1;ITGB5;ITGB4;ITGB3;INPPL1;ARHGAP5;PKD1;CASP8;CFL1;AKT1;ITGB7;ITGB6;HRAS;GIT1;VAV3;SYK;PDPK1;ACTN1;PDE4D;GAB1;PRKCA;MAPK8IP3;SRCIN1;RHOA;VAV1;VAV2;DNM2;TIAM1;CEACAM1;MMP14;CTTN;PIK3CA;ADAM12;RAPGEF1;RHOU;EZR;SOS1;DOCK1;CRK;VCL;LRP1;SHC1;SRC;PXN;ASAP2;PLD1;CBL;MAPK8;ABL1;PTK2B;CSK;FYN;PIP5K1C;PLCG1;PTPN1;INSR;CAV1;STAT3;PTPN11;SORBS1;PTK2;ARHGAP32;PTPRA;TRIP6;GRB2;PTPN6;PTPN2;BCAR1
PPI_Hub_Proteins	INSR	43/202	2.611190096684771e-45	2.3413671200273447e-43	0	0	34.27263136538852	3518.3091731702666	GRB7;ARF1;SHC1;SRC;INPPL1;ARHGAP5;CBL;PVR;LPP;PTPRF;ABL1;PTK2B;MAPK1;CSK;FYN;PLCG1;HRAS;SH2B1;VAV3;PTPN1;SYK;ACTN1;INSR;CAV1;STAT3;GAB1;PRKCA;PTPN11;SORBS1;PTPN12;ARHGAP26;PTK2;VAV1;VAV2;CEACAM1;CTTN;PIK3CA;ADAM12;GRB2;PTPN6;CRK;PTPN2;BCAR1
PPI_Hub_Proteins	SHC1	40/195	2.0000293099425974e-41	1.3450197109363969e-39	0	0	32.08983258472846	3007.228928744209	ITGB1;GRB7;LRP1;SHC1;ITGB4;SRC;ITGB3;ITGB2;INPPL1;CBL;MAPK8;INPP5D;ABL1;SIRPA;PTK2B;MAPK1;ITGAV;ITGB7;CSK;FYN;PLCG1;VAV3;SYK;INSR;GAB1;PRKCA;PTPN11;PTPN12;PTK2;VAV1;DNM2;CEACAM1;PIK3CA;RAPGEF1;GRB2;PTPN6;ARHGEF7;SOS1;CRK;PTPN2
PPI_Hub_Proteins	ITGB1	33/129	1.1586571729625622e-37	6.233575590538585e-36	0	0	41.05416666666667	3491.5906429584475	ITGB1;CD151;ITGB5;SHC1;SRC;PXN;FHL2;ILK;TENC1;ARHGAP5;AKT1;PTK2B;ITGAV;CSK;ITGA4;ITGA3;ACTN1;CAV1;ITGA2;ITGA1;PLAUR;PRKCA;PTK2;ITGA10;ITGA11;ITGA8;ITGA7;ITGB1BP1;ITGA6;NF2;CD47;TLN1;ITGA9
PPI_Hub_Proteins	LCK	35/196	5.2834326804111385e-34	2.3687389850509945e-32	0	0	26.194985329421183	2007.146668542997	SHC1;SRC;PXN;INPPL1;PTEN;NEDD9;THY1;PTPRH;CBL;PVR;LPP;PTPRF;INPP5D;ABL1;PTK2B;MAPK1;CSK;FYN;PLCG1;SYK;INSR;STAT3;PRKCA;PTPN11;PTK2;VAV1;DEF6;VAV2;DNM2;PIK3CA;PTPRA;PTPN6;EZR;SOS1;BCAR1
PPI_Hub_Proteins	EGFR	46/467	1.0576947525721887e-32	4.064569834884554e-31	0	0	13.931835229403674	1025.7540943415688	BCAR3;GRB7;SHC1;SRC;ITGB4;PXN;INPPL1;FHL2;HSPB1;PLD1;CBL;CSRP1;CFL1;ABL1;NCK2;PTK2B;MAPK1;CSK;PLCG1;HRAS;SH2B1;VAV3;PTPN1;SYK;CAV1;STAT3;GAB1;PRKCA;SORBS2;PTPN11;PTPN12;PTK2;VAV1;VAV2;ENAH;CEACAM1;PIK3CA;GRB2;PTPN6;PABPC1;TLN1;EZR;SOS1;CRK;PTPN2;BCAR1
PPI_Hub_Proteins	GRB2	54/767	4.706876916272972e-31	1.5178679431240904e-29	0	0	10.039796633941094	701.090175950697	ITGB4;INPPL1;HSPB1;TUBA1B;CFL1;HRAS;VAV3;SYK;ACTN1;GAB1;VAV1;VAV2;DNM2;CTTN;PIK3CA;ADAM12;RAPGEF1;MYH9;RHOU;ITGA6;PABPC1;SOS1;DOCK1;CRK;PLEC;GRB7;SHC1;SRC;PXN;ASAP2;CBL;CORO1B;CYTH2;INPP5D;ABL1;PTK2B;MAPK1;FYN;PLCG1;SH2B1;SVIL;PTPN1;PRNP;INSR;PTPN11;PTPN12;PTK2;ARHGAP32;ARPC2;PTPRA;GRB2;PTPN6;NF2;BCAR1
PPI_Hub_Proteins	PIK3R1	38/301	5.078368582943053e-31	1.5178679431240904e-29	0	0	17.644534220532318	1230.797092731105	SHC1;SRC;PXN;INPPL1;AGAP2;ASAP2;CBL;TUBA1B;MAPK8;CASP8;INPP5D;ABL1;AKT1;SIRPA;PTK2B;FYN;RAC1;HRAS;VAV3;SYK;PDPK1;INSR;GAB1;PTPN11;PTK2;VAV1;ARHGAP32;PIK3CA;ADAM12;RAPGEF1;GRB2;PTPN6;PFN1;TLN1;EZR;SOS1;CRK;BCAR1
PPI_Hub_Proteins	PRKCA	47/547	9.78279923438112e-31	2.63157299404852e-29	0	0	12.015814569536426	830.2869256741775	ITGB1;LRP1;SDC4;ITGB5;SHC1;SRC;ITGB4;ITGB3;ITGB2;ILK;HSPB1;LDB3;PLD1;CBL;CORO1B;CYTH2;ABL1;AKT1;MAPK1;ITGB7;PLCG1;RAC1;CAPN1;ITGB6;HRAS;VASP;GIT2;PTPN1;SYK;PDPK1;INSR;RDX;PRKCA;PTPN11;PTPN12;SRCIN1;PTK2;RHOA;DNM2;ENAH;TIAM1;PTPRA;MYH9;PTPN6;VIM;EZR;VCL
