,chrom,chrom_int,loci,gene,locus_id,active
34,chr1,1,64,FBLIM1,chr_1_loc_16000000,True
97,chr1,1,95,ASAP3,chr_1_loc_23750000,True
173,chr1,1,109,SLC9A1,chr_1_loc_27250000,True
158,chr1,1,127,FABP3,chr_1_loc_31750000,True
139,chr1,1,158,MACF1,chr_1_loc_39500000,True
139,chr1,1,159,MACF1,chr_1_loc_39750000,True
132,chr1,1,175,PTPRF,chr_1_loc_43750000,True
132,chr1,1,176,PTPRF,chr_1_loc_44000000,True
154,chr1,1,186,TSPAN1,chr_1_loc_46500000,True
116,chr1,1,255,ITGB3BP,chr_1_loc_63750000,True
7,chr1,1,313,NEXN,chr_1_loc_78250000,True
181,chr1,1,376,BCAR3,chr_1_loc_94000000,True
188,chr1,1,432,VAV3,chr_1_loc_108000000,False
188,chr1,1,433,VAV3,chr_1_loc_108250000,False
188,chr1,1,434,VAV3,chr_1_loc_108500000,True
74,chr1,1,582,ITGA10,chr_1_loc_145500000,True
22,chr1,1,616,HAX1,chr_1_loc_154000000,True
152,chr1,1,619,SHC1,chr_1_loc_154750000,True
190,chr1,1,623,ARHGEF2,chr_1_loc_155750000,True
147,chr1,1,805,CSRP1,chr_1_loc_201250000,True
198,chr1,1,895,CAPN2,chr_1_loc_223750000,True
6,chr1,1,902,ENAH,chr_1_loc_225500000,True
6,chr1,1,903,ENAH,chr_1_loc_225750000,True
192,chr1,1,913,ARF1,chr_1_loc_228250000,True
112,chr1,1,915,RHOU,chr_1_loc_228750000,True
101,chr2,2,37,ASAP2,chr_2_loc_9250000,True
26,chr2,2,38,ITGB1BP1,chr_2_loc_9500000,True
101,chr2,2,38,ASAP2,chr_2_loc_9500000,True
183,chr2,2,156,SOS1,chr_2_loc_39000000,True
183,chr2,2,157,SOS1,chr_2_loc_39250000,True
18,chr2,2,423,FHL2,chr_2_loc_105750000,True
18,chr2,2,424,FHL2,chr_2_loc_106000000,True
35,chr2,2,425,NCK2,chr_2_loc_106250000,True
35,chr2,2,426,NCK2,chr_2_loc_106500000,True
40,chr2,2,437,LIMS1,chr_2_loc_109250000,True
41,chr2,2,513,LIMS2,chr_2_loc_128250000,True
87,chr2,2,643,ITGB6,chr_2_loc_160750000,True
87,chr2,2,644,ITGB6,chr_2_loc_161000000,True
70,chr2,2,693,ITGA6,chr_2_loc_173250000,True
68,chr2,2,729,ITGA4,chr_2_loc_182250000,True
80,chr2,2,749,ITGAV,chr_2_loc_187250000,True
80,chr2,2,750,ITGAV,chr_2_loc_187500000,True
199,chr2,2,808,CASP8,chr_2_loc_202000000,True
144,chr2,2,816,ABI2,chr_2_loc_204000000,True
144,chr2,2,817,ABI2,chr_2_loc_204250000,True
91,chr2,2,826,NRP2,chr_2_loc_206500000,True
49,chr2,2,874,TNS1,chr_2_loc_218500000,True
49,chr2,2,875,TNS1,chr_2_loc_218750000,True
140,chr2,2,876,ARPC2,chr_2_loc_219000000,True
148,chr2,2,910,IRS1,chr_2_loc_227500000,True
114,chr2,2,935,INPP5D,chr_2_loc_233750000,True
114,chr2,2,936,INPP5D,chr_2_loc_234000000,True
212,chr2,2,956,ILKAP,chr_2_loc_239000000,True
146,chr3,3,62,ANKRD28,chr_3_loc_15500000,True
146,chr3,3,63,ANKRD28,chr_3_loc_15750000,True
73,chr3,3,149,ITGA9,chr_3_loc_37250000,True
73,chr3,3,150,ITGA9,chr_3_loc_37500000,False
73,chr3,3,151,ITGA9,chr_3_loc_37750000,True
195,chr3,3,197,RHOA,chr_3_loc_49250000,True
124,chr3,3,209,PPM1M,chr_3_loc_52250000,True
159,chr3,3,209,NISCH,chr_3_loc_52250000,True
159,chr3,3,210,NISCH,chr_3_loc_52500000,True
166,chr3,3,431,CD47,chr_3_loc_107750000,True
86,chr3,3,497,ITGB5,chr_3_loc_124250000,True
86,chr3,3,498,ITGB5,chr_3_loc_124500000,True
196,chr3,3,685,PLD1,chr_3_loc_171250000,True
196,chr3,3,686,PLD1,chr_3_loc_171500000,True
201,chr3,3,715,PIK3CA,chr_3_loc_178750000,True
32,chr3,3,751,LPP,chr_3_loc_187750000,True
32,chr3,3,752,LPP,chr_3_loc_188000000,True
32,chr3,3,753,LPP,chr_3_loc_188250000,True
32,chr3,3,754,LPP,chr_3_loc_188500000,True
102,chr4,4,345,ARHGAP24,chr_4_loc_86250000,False
102,chr4,4,346,ARHGAP24,chr_4_loc_86500000,True
102,chr4,4,347,ARHGAP24,chr_4_loc_86750000,True
19,chr4,4,577,GAB1,chr_4_loc_144250000,True
36,chr4,4,677,PALLD,chr_4_loc_169250000,True
36,chr4,4,678,PALLD,chr_4_loc_169500000,True
36,chr4,4,679,PALLD,chr_4_loc_169750000,True
12,chr4,4,746,SORBS2,chr_4_loc_186500000,True
12,chr4,4,747,SORBS2,chr_4_loc_186750000,True
185,chr5,5,56,TRIO,chr_5_loc_14000000,True
185,chr5,5,57,TRIO,chr_5_loc_14250000,True
185,chr5,5,58,TRIO,chr_5_loc_14500000,True
65,chr5,5,208,ITGA1,chr_5_loc_52000000,True
66,chr5,5,209,ITGA2,chr_5_loc_52250000,True
93,chr5,5,233,PDE4D,chr_5_loc_58250000,True
93,chr5,5,234,PDE4D,chr_5_loc_58500000,False
93,chr5,5,235,PDE4D,chr_5_loc_58750000,False
93,chr5,5,236,PDE4D,chr_5_loc_59000000,False
106,chr5,5,346,RASA1,chr_5_loc_86500000,True
100,chr5,5,568,ARHGAP26,chr_5_loc_142000000,True
100,chr5,5,569,ARHGAP26,chr_5_loc_142250000,True
100,chr5,5,570,ARHGAP26,chr_5_loc_142500000,True
42,chr5,5,722,GNB2L1,chr_5_loc_180500000,True
23,chr6,6,44,NEDD9,chr_6_loc_11000000,True
177,chr6,6,128,RNF5,chr_6_loc_32000000,True
107,chr6,6,141,DEF6,chr_6_loc_35250000,True
214,chr6,6,447,FYN,chr_6_loc_111750000,True
214,chr6,6,448,FYN,chr_6_loc_112000000,True
141,chr6,6,456,MARCKS,chr_6_loc_114000000,True
17,chr6,6,636,EZR,chr_6_loc_159000000,True
11,chr7,7,22,ACTB,chr_7_loc_5500000,True
194,chr7,7,25,RAC1,chr_7_loc_6250000,True
89,chr7,7,81,ITGB8,chr_7_loc_20250000,True
109,chr7,7,147,ELMO1,chr_7_loc_36750000,False
