Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2018	kinase binding (GO:0019900)	28/418	1.3012975521547506e-15	2.3791430815190674e-13	0	0	8.198129713423832	280.9942941440944	GRB7;MYOM1;SHC1;SRC;ITGB2;ILK;HSPB1;THY1;PKD1;PLCG1;RAC1;PTPN1;CAV1;STAT3;SRCIN1;PTK2;RHOA;TIAM1;CEACAM1;ABI2;TRIP6;GRB2;RHOU;PTPN6;ARHGEF7;PTPN2;BCAR1;LIMS1
GO_Molecular_Function_2018	protein kinase binding (GO:0019901)	30/495	1.7054789114832025e-15	2.3791430815190674e-13	0	0	7.425883256528418	252.51664357239346	GRB7;SHC1;ITGB2;ILK;HSPB1;THY1;PKD1;ABL1;ITGAV;CSK;PLCG1;RAC1;PTPN1;INSR;CAV1;STAT3;MAPK8IP3;SRCIN1;PTK2;RHOA;CEACAM1;GRB2;RHOU;PTPN6;EZR;ARHGEF7;CRK;PTPN2;BCAR1;LIMS1
GO_Molecular_Function_2018	actin binding (GO:0003779)	21/254	9.932649443806791e-14	9.237363982740316e-12	0	0	9.96457408889212	298.3429757985442	ITGB1;MACF1;SVIL;MYOM1;ACTN1;RDX;PARVA;SORBS1;PARVB;CORO2A;PTK2;CORO1B;SSH1;CEACAM1;ARPC2;CFL1;ABL1;MYH9;PFN1;EZR;VCL
GO_Molecular_Function_2018	cadherin binding (GO:0045296)	22/313	6.785365015197648e-13	4.732792098100359e-11	0	0	8.381013745704466	234.82626741992908	VASP;ITGB1;MACF1;PTPN1;TES;SRC;RDX;PARVA;CBL;CORO1B;KTN1;SDCBP;LASP1;CTTN;ABI1;MYH9;ITGA6;PFN1;TLN1;EZR;VCL;PLEC
GO_Molecular_Function_2018	ephrin receptor binding (GO:0046875)	8/19	5.511200826506634e-12	3.075250061190701e-10	0	0	75.75502392344498	1963.8913138752334	PTPN1;SRC;SHC1;ABL1;FYN;GRB2;CBL;CRK
GO_Molecular_Function_2018	integrin binding (GO:0005178)	13/94	8.815116435974962e-12	4.0990291427283567e-10	0	0	17.108641975308643	435.4928354808838	CD151;SYK;SRC;ITGB3;ACTN1;PRKCA;THY1;ITGAV;ITGB1BP1;CALR;TLN1;PTPN2;FERMT3
GO_Molecular_Function_2018	SH3/SH2 adaptor activity (GO:0005070)	10/51	6.46455090447186e-11	2.5765852890680698e-09	0	0	25.63700051894136	601.4979334241725	BCAR3;VAV3;LASP1;SRC;NCK2;GAB1;PTPN11;GRB2;SORBS1;CRK
GO_Molecular_Function_2018	SH3 domain binding (GO:0017124)	10/55	1.429882254421186e-10	4.986714362293886e-09	0	0	23.35342789598109	529.3815480817151	ABI2;ADAM12;ABI1;ELMO1;ABL1;GRB2;PTPN12;CBL;CRK;DNM2
GO_Molecular_Function_2018	phosphotyrosine residue binding (GO:0001784)	8/29	2.875629105773329e-10	8.139945019477166e-09	0	0	39.66115288220551	871.3388497299122	SYK;SHC1;ABL1;NCK2;GRB2;CRK;VAV1;VAV2
GO_Molecular_Function_2018	Rho guanyl-nucleotide exchange factor activity (GO:0005089)	10/59	2.967975756912173e-10	8.139945019477166e-09	0	0	21.44268345636127	470.4089629565908	VAV3;TIAM1;TRIO;ARHGEF12;ARHGEF2;ARHGEF7;SOS1;DOCK1;VAV1;VAV2
